sample	unit	platform	fq1	fq2
sisar_13D_Sisar	1	ILLUMINA	FASTQ/CONCATENATED/sisar_13D_Sisar_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/sisar_13D_Sisar_R2_001.merged.fastq.gz
sisar_13E_SphI_15m_1	1	ILLUMINA	FASTQ/CONCATENATED/sisar_13E_SphI_15m_1_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/sisar_13E_SphI_15m_1_R2_001.merged.fastq.gz
sisar_14C_SphI_15m_1	1	ILLUMINA	FASTQ/CONCATENATED/sisar_14C_SphI_15m_1_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/sisar_14C_SphI_15m_1_R2_001.merged.fastq.gz
sisar_14D_SphI_15m_1	1	ILLUMINA	FASTQ/CONCATENATED/sisar_14D_SphI_15m_1_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/sisar_14D_SphI_15m_1_R2_001.merged.fastq.gz
sisar_14E_Dam	1	ILLUMINA	FASTQ/CONCATENATED/sisar_14E_Dam_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/sisar_14E_Dam_R2_001.merged.fastq.gz
sisar_15C_Sisar	1	ILLUMINA	FASTQ/CONCATENATED/sisar_15C_Sisar_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/sisar_15C_Sisar_R2_001.merged.fastq.gz
sisar_15D_Sisar	1	ILLUMINA	FASTQ/CONCATENATED/sisar_15D_Sisar_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/sisar_15D_Sisar_R2_001.merged.fastq.gz
sisar_15E_Sisar	1	ILLUMINA	FASTQ/CONCATENATED/sisar_15E_Sisar_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/sisar_15E_Sisar_R2_001.merged.fastq.gz
sisar_18C_Sisar	1	ILLUMINA	FASTQ/CONCATENATED/sisar_18C_Sisar_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/sisar_18C_Sisar_R2_001.merged.fastq.gz
sisar_18D_Sisar	1	ILLUMINA	FASTQ/CONCATENATED/sisar_18D_Sisar_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/sisar_18D_Sisar_R2_001.merged.fastq.gz
sisar_18E_Sisar	1	ILLUMINA	FASTQ/CONCATENATED/sisar_18E_Sisar_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/sisar_18E_Sisar_R2_001.merged.fastq.gz
sisar_20C_Sisar	1	ILLUMINA	FASTQ/CONCATENATED/sisar_20C_Sisar_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/sisar_20C_Sisar_R2_001.merged.fastq.gz
sisar_20D_Sisar	1	ILLUMINA	FASTQ/CONCATENATED/sisar_20D_Sisar_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/sisar_20D_Sisar_R2_001.merged.fastq.gz
sisar_20E_Sisar	1	ILLUMINA	FASTQ/CONCATENATED/sisar_20E_Sisar_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/sisar_20E_Sisar_R2_001.merged.fastq.gz
sisar_21C_Sisar	1	ILLUMINA	FASTQ/CONCATENATED/sisar_21C_Sisar_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/sisar_21C_Sisar_R2_001.merged.fastq.gz
sisar_21D_Sisar	1	ILLUMINA	FASTQ/CONCATENATED/sisar_21D_Sisar_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/sisar_21D_Sisar_R2_001.merged.fastq.gz
sisar_21E_SphI_15m_1	1	ILLUMINA	FASTQ/CONCATENATED/sisar_21E_SphI_15m_1_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/sisar_21E_SphI_15m_1_R2_001.merged.fastq.gz
sisar_4C_Sisar	1	ILLUMINA	FASTQ/CONCATENATED/sisar_4C_Sisar_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/sisar_4C_Sisar_R2_001.merged.fastq.gz
sisar_4D_Sisar	1	ILLUMINA	FASTQ/CONCATENATED/sisar_4D_Sisar_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/sisar_4D_Sisar_R2_001.merged.fastq.gz
sisar_4E_Sisar	1	ILLUMINA	FASTQ/CONCATENATED/sisar_4E_Sisar_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/sisar_4E_Sisar_R2_001.merged.fastq.gz
sisar_6C_Sisar	1	ILLUMINA	FASTQ/CONCATENATED/sisar_6C_Sisar_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/sisar_6C_Sisar_R2_001.merged.fastq.gz
sisar_6D_Sisar	1	ILLUMINA	FASTQ/CONCATENATED/sisar_6D_Sisar_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/sisar_6D_Sisar_R2_001.merged.fastq.gz
